TestNo,BLOCK_X,BLOCK_Y,Score_1,Score_2,Score_3,Score_Overall
1,32,2,0.555634021759,0.557332038879,0.606596946716,0.557332038879
2,64,2,0.553163766861,0.563832998276,0.576740980148,0.563832998276
3,128,2,0.551789999008,0.557667970657,0.58301281929,0.557667970657
4,32,4,0.556128025055,0.560631036758,0.583374023438,0.560631036758
5,64,4,0.56112909317,0.583298921585,0.629199981689,0.583298921585
6,128,4,0.57411813736,0.579205989838,0.605352878571,0.579205989838
7,32,6,0.55575799942,0.57518196106,0.604052066803,0.57518196106
8,64,6,0.550980091095,0.55509519577,0.571743965149,0.55509519577
9,128,6,0.556720972061,0.557513952255,0.584871768951,0.557513952255
